n r1 r2 r3 r4
626 0.515318 0.986888 0.900832 0.676011
627 0.406366 0.671602 0.647993 0.111225
628 0.800335 0.14762 0.780464 0.583248
629 0.144718 0.841296 0.850853 0.498463
630 0.665294 0.719201 0.0809415 0.741543
631 0.689302 0.743542 0.827969 0.963092
632 0.148167 0.988438 0.239338 0.10467
633 0.685283 0.238752 0.984311 0.960189
634 0.778201 0.536567 0.751822 0.819104
635 0.501656 0.0706388 0.652133 0.272926
636 0.00612646 0.594729 0.146402 0.265615
637 0.521858 0.932624 0.00921188 0.13736
638 0.0760121 0.243184 0.737658 0.433625
639 0.759347 0.0654908 0.343039 0.365512
640 0.871975 0.204285 0.419314 0.290445
641 0.397726 0.636293 0.428536 0.45306
642 0.538575 0.97919 0.797387 0.104358
643 0.651918 0.148508 0.927499 0.54861
644 0.064336 0.0783371 0.388517 0.352434
645 0.518753 0.133449 0.983604 0.177114
646 0.533492 0.0956587 0.404974 0.890779
647 0.532178 0.372913 0.577409 0.750644
648 0.391638 0.376553 0.819691 0.486858
649 0.560229 0.903096 0.721463 0.165346
650 0.836631 0.0296015 0.951559 0.610357
651 0.977728 0.0497419 0.216188 0.174027
652 0.336688 0.0320381 0.733097 0.55095
653 0.220575 0.744552 0.452892 0.73946
654 0.293257 0.178968 0.119481 0.478207
655 0.774363 0.372841 0.640852 0.214101
656 0.00686724 0.626336 0.769784 0.980744
657 0.0719323 0.402444 0.851038 0.957551
658 0.369789 0.777645 0.178175 0.918612
659 0.571341 0.043871 0.409708 0.893714
660 0.0999475 0.264426 0.854673 0.094776
661 0.457618 0.191714 0.440668 0.525234
662 0.846183 0.770456 0.951948 0.298419
663 0.958531 0.897305 0.745677 0.063408
664 0.13554 0.449726 0.906525 0.694679
665 0.186468 0.622617 0.728058 0.597405
666 0.898941 0.688163 0.209626 0.332315
667 0.71544 0.525427 0.705234 0.617246
668 0.202166 0.959093 0.344768 0.71264
669 0.77404 0.0257179 0.721498 0.720623
670 0.824745 0.522466 0.226077 0.909977
671 0.982109 0.903336 0.862985 0.974254
672 0.469949 0.71782 0.143214 0.655734
673 0.980709 0.176896 0.0924223 0.166116
674 0.654711 0.601001 0.265609 0.0950896
675 0.101889 0.0139409 0.761854 0.0754909
676 0.718937 0.674635 0.180644 0.597139
677 0.396617 0.922343 0.227174 0.903417
678 0.909274 0.462343 0.737246 0.0462495
679 0.886085 0.472965 0.378914 0.146744
680 0.133048 0.676709 0.638268 0.464219
681 0.823521 0.803563 0.41938 0.464618
682 0.743695 0.731002 0.771874 0.609736
683 0.0504831 0.153944 0.856821 0.476852
684 0.60964 0.344645 0.194059 0.373487
685 0.203493 0.682372 0.452966 0.949257
686 0.734198 0.992429 0.971265 0.334159
687 0.573747 0.813225 0.750893 0.461645
688 0.834707 0.947487 0.76397 0.762438
689 0.844513 0.365899 0.825784 0.419821
690 0.554719 0.66801 0.0789765 0.656985
691 0.727695 0.714968 0.0418001 0.163522
692 0.373696 0.277716 0.540012 0.0682637
693 0.692928 0.231586 0.863872 0.937885
694 0.794299 0.890069 0.323123 0.0129333
695 0.529441 0.256146 0.163888 0.636639
696 0.027959 0.526249 0.075222 0.703436
697 0.402786 0.852185 0.976337 0.490862
698 0.165083 0.376869 0.181027 0.614249
699 0.365427 0.591543 0.299122 0.267735
700 0.706815 0.157442 0.165494 0.0781681
701 0.952049 0.620765 0.300864 0.0593944
702 0.35096 0.307607 0.315739 0.652854
703 0.537315 0.258759 0.186656 0.382573
704 0.0652521 0.784088 0.278292 0.419751
705 0.555681 0.375703 0.989845 0.0753547
706 0.746815 0.197421 0.434439 0.674367
707 0.479763 0.803202 0.698031 0.368012
708 0.157244 0.0424179 0.278237 0.138765
709 0.625602 0.0256912 0.387141 0.520482
710 0.338415 0.772386 0.81871 0.874007
711 0.400073 0.403095 0.427992 0.559705
712 0.354698 0.467099 0.199566 0.492164
713 0.527533 0.174733 0.345463 0.915639
714 0.972918 0.844512 0.276683 0.0643608
715 0.0897142 0.494475 0.550936 0.145414
716 0.782021 0.366236 0.815468 0.293237
717 0.884699 0.747146 0.934379 0.450694
718 0.270002 0.18675 0.267065 0.0650351
719 0.657723 0.396187 0.192981 0.33396
720 0.516321 0.696373 0.754296 0.418446
721 0.178419 0.612558 0.788949 0.505032
722 0.423625 0.407985 0.945034 0.264179
723 0.935974 0.934893 0.569659 0.039791
724 0.803222 0.937491 0.912653 0.861133
725 0.395568 0.21091 0.348981 0.80868
726 0.144407 0.828042 0.880013 0.101883
727 0.30633 0.0700647 0.139244 0.333177
728 0.538313 0.968006 0.915352 0.0821113
729 0.472909 0.177457 0.238914 0.494076
730 0.992641 0.352683 0.195319 0.225452
731 0.699664 0.518988 0.0216874 0.906032
732 0.264213 0.939776 0.372252 0.407121
733 0.288307 0.967765 0.0383265 0.28844
734 0.35192 0.348607 0.879689 0.0665528
735 0.51676 0.38176 0.933195 0.803357
736 0.933276 0.153092 0.681971 0.221168
737 0.948814 0.482713 0.693069 0.0967911
738 0.293401 0.518451 0.020673 0.590239
739 0.221085 0.766291 0.886421 0.670314
740 0.685899 0.931685 0.132468 0.709734
741 0.125629 0.693492 0.817021 0.225575
742 0.580683 0.775789 0.709912 0.965849
743 0.353437 0.413303 0.906286 0.764917
744 0.894478 0.497723 0.0485075 0.896863
745 0.185936 0.266606 0.134475 0.496924
746 0.0653156 0.120132 0.370284 0.909779
747 0.718469 0.321333 0.0114243 0.986355
748 0.722972 0.846812 0.735994 0.730123
749 0.871614 0.188872 0.313146 0.503539
750 0.722936 0.51193 0.254928 0.450132
751 0.493087 0.371727 0.711255 0.168937
752 0.452101 0.622994 0.973183 0.962438
753 0.274822 0.392419 0.437798 0.254198
754 0.580021 0.747569 0.868144 0.86324
755 0.00672607 0.953646 0.268677 0.891661
756 0.820166 0.99375 0.798767 0.580806
757 0.860461 0.379687 0.374511 0.459887
758 0.781274 0.334375 0.0581635 0.532066
759 0.943494 0.589062 0.978385 0.0534114
760 0.629492 0.524998 0.346836 0.531877
761 0.28551 0.848432 0.275554 0.710561
762 0.0476314 0.365608 0.531801 0.476471
763 0.716198 0.55776 0.710821 0.463777
764 0.868502 0.0560936 0.478715 0.49442
765 0.765236 0.316718 0.474901 0.792525
766 0.774894 0.395467 0.540975 0.305371
767 0.762242 0.522339 0.971741 0.699499
768 0.59941 0.574829 0.961672 0.448655
769 0.73628 0.747926 0.0243594 0.396441
770 0.0229865 0.31409 0.491108 0.340751
771 0.511403 0.153208 0.727413 0.476538
772 0.861541 0.0924362 0.944508 0.792467
773 0.566619 0.175746 0.120329 0.465962
774 0.645841 0.222551 0.221399 0.663571
775 0.775475 0.75359 0.245434 0.787771
776 0.840279 0.518582 0.480015 0.754489
777 0.0624027 0.329183 0.671184 0.436989
778 0.811903 0.307861 0.706971 0.831536
779 0.309793 0.88452 0.201176 0.0563154
780 0.551634 0.536372 0.84431 0.854066
781 0.521661 0.257552 0.255282 0.617556
782 0.165265 0.717969 0.932899 0.0187454
783 0.296637 0.989845 0.299858 0.554466
784 0.292438 0.477349 0.403053 0.158088
785 0.0848941 0.955484 0.719597 0.958335
786 0.877424 0.436763 0.690103 0.327215
787 0.500498 0.021227 0.664242 0.338273
788 0.106168 0.196494 0.774526 0.0847047
789 0.132529 0.987918 0.668976 0.46377
790 0.839666 0.159067 0.043123 0.0202772
791 0.84523 0.0631372 0.237951 0.947733
792 0.514388 0.947224 0.0395962 0.503906
793 0.47926 0.11511 0.0960225 0.493835
794 0.24607 0.165641 0.219769 0.427854
795 0.163075 0.957861 0.454413 0.122612
796 0.763822 0.256396 0.748553 0.884988
797 0.115257 0.917625 0.401603 0.206416
798 0.817145 0.198186 0.672644 0.273605
799 0.865559 0.930496 0.421436 0.783888
800 0.839046 0.799302 0.474817 0.240885
801 0.24425 0.421342 0.0559829 0.39032
802 0.914086 0.334339 0.062541 0.17395
803 0.286265 0.213953 0.8714 0.530823
804 0.490813 0.274672 0.66553 0.619386
805 0.368495 0.722453 0.150581 0.938908
806 0.793656 0.862672 0.913717 0.0589711
807 0.445483 0.673954 0.127078 0.903659
808 0.529992 0.279675 0.539009 0.891213
809 0.170605 0.612462 0.0903537 0.21435
810 0.253696 0.157699 0.691044 0.26518
811 0.986735 0.434034 0.333081 0.661935
812 0.637146 0.184916 0.779088 0.584988
813 0.942262 0.203185 0.676804 0.552511
814 0.919255 0.554868 0.0490273 0.0501736
815 0.0351689 0.500542 0.202929 0.328438
816 0.937721 0.00943792 0.776329 0.519067
817 0.309807 0.551751 0.831612 0.15846
818 0.419349 0.225566 0.0027088 0.279151
819 0.727835 0.387636 0.531747 0.248768
820 0.592868 0.295721 0.166103 0.980251
821 0.00669379 0.285602 0.210894 0.642595
822 0.704347 0.0521177 0.770438 0.0333148
823 0.165835 0.742291 0.724583 0.416534
824 0.655891 0.984684 0.413555 0.199369
825 0.442832 0.227491 0.960085 0.447411
826 0.753972 0.502784 0.0385204 0.890147
827 0.538343 0.96929 0.590354 0.314177
828 0.444313 0.290682 0.195439 0.873746
829 0.820793 0.0204841 0.859449 0.414877
830 0.92594 0.506765 0.397743 0.625551
831 0.168505 0.856232 0.651419 0.0194157
832 0.677574 0.576508 0.328829 0.486531
833 0.548898 0.752961 0.110205 0.744444
834 0.195216 0.329196 0.701769 0.087884
835 0.231215 0.198527 0.21877 0.827312
836 0.630353 0.228392 0.996704 0.172914
837 0.701178 0.583614 0.0112925 0.591678
838 0.533894 0.446153 0.097415 0.993845
839 0.892759 0.424397 0.482858 0.63797
840 0.551508 0.531002 0.0204119 0.883208
841 0.274214 0.366445 0.776751 0.557521
842 0.68171 0.419647 0.476798 0.396258
843 0.622341 0.219877 0.870031 0.359856
844 0.598651 0.542445 0.929 0.592812
845 0.990838 0.275771 0.743727 0.31817
846 0.557171 0.772626 0.101358 0.573713
847 0.42548 0.153816 0.914609 0.578744
848 0.538342 0.969262 0.575432 0.309047
849 0.400732 0.431222 0.221107 0.645586
850 0.559312 0.863979 0.147758 0.0920939
851 0.749286 0.302874 0.896581 0.742285
852 0.461909 0.0414337 0.0496686 0.624866
853 0.0278767 0.522739 0.228779 0.0686277
854 0.0100827 0.763528 0.925655 0.787975
855 0.809606 0.876522 0.494921 0.110203
856 0.766892 0.387379 0.638633 0.569438
857 0.314896 0.435575 0.377508 0.424807
858 0.987352 0.127036 0.517352 0.423896
859 0.090048 0.842047 0.706535 0.720113
860 0.654116 0.908953 0.583044 0.505616
861 0.114265 0.875297 0.139453 0.552675
862 0.798544 0.0712026 0.589318 0.765508
863 0.76288 0.549545 0.280831 0.618972
864 0.390386 0.656449 0.381128 0.824263
865 0.476393 0.992784 0.75929 0.374828
866 0.344891 0.0486635 0.125588 0.830599
867 0.781803 0.356928 0.919916 0.610143
868 0.586803 0.703596 0.389204 0.185472
869 0.484591 0.00922692 0.0559794 0.621539
870 0.62632 0.722993 0.833038 0.0599912
871 0.3966 0.254917 0.494415 0.766094
872 0.742716 0.0225643 0.469146 0.0566448
873 0.886901 0.84113 0.365141 0.44502
874 0.636962 0.843704 0.968531 0.160316
875 0.839657 0.492048 0.524915 0.956717
876 0.305288 0.358958 0.432717 0.297459
877 0.274812 0.72531 0.872066 0.174299
878 0.901279 0.121244 0.337939 0.368661
879 0.934367 0.199669 0.179039 0.643274
880 0.494691 0.10682 0.0327833 0.5417
881 0.558841 0.843896 0.585349 0.460732
882 0.900828 0.102001 0.217047 0.889092
883 0.375397 0.0169393 0.0341362 0.187966
884 0.144929 0.18363 0.251395 0.125972
885 0.491 0.949329 0.201147 0.0641336
886 0.64164 0.0432981 0.944321 0.251056
887 0.43084 0.715832 0.855607 0.929131
888 0.810281 0.905308 0.634753 0.315286
889 0.984126 0.989362 0.108057 0.529537
890 0.612228 0.788398 0.93556 0.339649
891 0.816237 0.826132 0.640846 0.272061
892 0.387372 0.861208 0.425041 0.57552
893 0.978095 0.732062 0.782631 0.0045751
894 0.382223 0.6415 0.870416 0.847771
895 0.490479 0.260437 0.178813 0.0454484
896 0.50287 0.789124 0.239137 0.642754
897 0.60291 0.390809 0.825505 0.447488
898 0.0916267 0.24274 0.800796 0.900141
899 0.123574 0.939158 0.375228 0.373459
900 0.916804 0.450285 0.044201 0.139481
901 0.388655 0.249293 0.888157 0.475756
902 0.0806998 0.443193 0.931134 0.599205
903 0.986301 0.415516 0.59339 0.313424
904 0.191508 0.504361 0.180133 0.487696
905 0.27234 0.286519 0.740289 0.105361
906 0.910466 0.17987 0.820538 0.242901
907 0.0117316 0.500548 0.260626 0.50916
908 0.876198 0.384455 0.178912 0.868851
909 0.151605 0.801803 0.727838 0.630662
910 0.023845 0.350721 0.756816 0.964313
911 0.778627 0.8881 0.990359 0.109919
912 0.457159 0.172112 0.130806 0.980697
913 0.735307 0.0397731 0.871604 0.894911
914 0.297413 0.689632 0.0523729 0.543191
915 0.166715 0.779833 0.469802 0.204952
916 0.32357 0.472311 0.347455 0.340991
917 0.440985 0.815372 0.856513 0.201378
918 0.733783 0.641427 0.0119831 0.139353
919 0.433833 0.51022 0.363281 0.0237094
920 0.998949 0.288472 0.0718376 0.888084
921 0.0891918 0.138852 0.161497 0.115118
922 0.544614 0.236869 0.322441 0.697953
923 0.464958 0.171545 0.481179 0.15166
924 0.888221 0.897448 0.985102 0.62838
925 0.144706 0.840781 0.58 0.405343
926 0.874242 0.967656 0.614084 0.776637
927 0.943099 0.238907 0.464506 0.0117347
928 0.790419 0.724533 0.260278 0.0806753
929 0.254618 0.197038 0.381116 0.378439
930 0.41394 0.661426 0.944189 0.544559
931 0.192075 0.195215 0.235095 0.8614
932 0.426995 0.218459 0.912867 0.267365
933 0.833292 0.553813 0.361341 0.851595
934 0.156799 0.356752 0.952249 0.703284
935 0.441161 0.156193 0.461423 0.555349
936 0.235775 0.726391 0.198295 0.0025331
937 0.444202 0.952611 0.0369618 0.0170598
938 0.543238 0.178146 0.437118 0.0795606
939 0.26161 0.495375 0.290053 0.323826
940 0.680522 0.368937 0.806256 0.22691
941 0.728639 0.755248 0.227057 0.447026
942 0.247134 0.211057 0.106038 0.639967
943 0.925057 0.469109 0.59271 0.816569
944 0.326136 0.915139 0.601921 0.139711
945 0.631301 0.268853 0.277136 0.489139
946 0.852583 0.376872 0.245533 0.677439
947 0.433786 0.841555 0.978969 0.662382
948 0.929472 0.657477 0.664019 0.877345
949 0.672755 0.370868 0.173394 0.302628
950 0.671279 0.307916 0.0641881 0.919663
951 0.972883 0.509686 0.824583 0.794328
952 0.795786 0.286869 0.369807 0.489003
953 0.0187667 0.134046 0.797593 0.785064
954 0.950526 0.22245 0.457294 0.309355
955 0.534257 0.128286 0.565423 0.790552
956 0.650805 0.767672 0.276897 0.959118
957 0.0965184 0.451453 0.572574 0.639744
958 0.721867 0.799672 0.94337 0.206404
959 0.462538 0.734955 0.50705 0.480722
960 0.278422 0.212677 0.551973 0.0266991
961 0.507691 0.66147 0.748387 0.833698
962 0.540345 0.0547212 0.522565 0.761899
963 0.672854 0.375101 0.39991 0.0681053
964 0.174018 0.758116 0.696373 0.551545
965 0.988425 0.172786 0.579048 0.696321
966 0.364383 0.21367 0.206931 0.214026
967 0.290475 0.726948 0.0301548 0.0172596
968 0.463406 0.438656 0.318553 0.177328
969 0.166158 0.0894061 0.639924 0.908632
970 0.826294 0.588531 0.972567 0.855841
971 0.462341 0.72653 0.0760876 0.957354
972 0.3374 0.0624031 0.703421 0.0415574
973 0.863335 0.835647 0.53574 0.633156
974 0.143412 0.452253 0.883649 0.42492
975 0.0904538 0.192696 0.480232 0.851116
976 0.252013 0.0858997 0.92855 0.282413
977 0.697995 0.781137 0.249213 0.0344324
978 0.919853 0.913722 0.138324 0.664882
979 0.237159 0.452105 0.587029 0.679398
980 0.144276 0.489127 0.277261 0.0924555
981 0.73123 0.865817 0.380305 0.440147
982 0.0888929 0.792764 0.786483 0.808784
983 0.952287 0.96423 0.296155 0.891379
984 0.913684 0.650502 0.698584 0.0692167
985 0.911522 0.224942 0.526112 0.392892
986 0.24598 0.495139 0.869413 0.7344
987 0.27218 0.946356 0.48147 0.870377
988 0.419263 0.22188 0.0641 0.612656
989 0.065955 0.814078 0.0513699 0.842545
990 0.622364 0.887548 0.731319 0.541367
991 0.140592 0.998581 0.925586 0.6653
992 0.242271 0.00355566 0.971643 0.119497
993 0.188299 0.0341045 0.499584 0.72928
994 0.949358 0.172626 0.25272 0.300207
995 0.00145661 0.728815 0.020062 0.237717
996 0.464514 0.819258 0.845892 0.724442
997 0.773974 0.356212 0.894792 0.207201
998 0.463218 0.763948 0.755725 0.723225
999 0.813542 0.377781 0.481226 0.474547
1000 0.712293 0.391156 0.0858296 0.338253
1001 0.951881 0.946904 0.183941 0.758594
1002 0.300649 0.161025 0.331182 0.507289
1003 0.236969 0.444014 0.331619 0.216386
1004 0.715973 0.214854 0.00907963 0.732716
1005 0.163117 0.292998 0.0699025 0.448818
1006 0.534945 0.824308 0.337698 0.0984689
1007 0.741614 0.308861 0.397067 0.551449
1008 0.635181 0.434395 0.343116 0.422475
1009 0.136561 0.826623 0.485098 0.571807
1010 0.102739 0.0501817 0.822542 0.628567
1011 0.387379 0.861483 0.569371 0.625141
1012 0.399623 0.717261 0.0133502 0.0937447
1013 0.911333 0.55022 0.955761 0.936202
1014 0.87139 0.845971 0.614414 0.773512
1015 0.0263403 0.123852 0.0846363 0.215251
1016 0.315532 0.129368 0.978091 0.329896
1017 0.65613 0.661542 0.106819 0.0421167
1018 0.0969908 0.804939 0.838097 0.283638
1019 0.676775 0.875754 0.0672098 0.322776
1020 0.187736 0.0100731 0.860382 0.383915
1021 0.0354373 0.178657 0.557402 0.39851
1022 0.522999 0.981283 0.600979 0.935825
1023 0.819057 0.279785 0.589254 0.0283609
1024 0.207356 0.847168 0.12671 0.747742
1025 0.872616 0.564942 0.456974 0.231201
1026 0.369495 0.76514 0.601451 0.65753
1027 0.36343 0.506357 0.495942 0.864375
1028 0.855122 0.151884 0.562595 0.268479
1029 0.859862 0.354091 0.912089 0.831498
1030 0.463068 0.757585 0.40918 0.572681
1031 0.0396569 0.358692 0.246278 0.952602
1032 0.0703255 0.333889 0.795047 0.561479
1033 0.0650415 0.775106 0.55378 0.795461
1034 0.757319 0.645629 0.167259 0.719452
1035 0.958543 0.897825 0.0195397 0.157562
1036 0.935382 0.576289 0.611903 0.470306
1037 0.985406 0.377303 0.495559 0.403778
1038 0.493997 0.0772222 0.466231 0.18991
1039 0.0953345 0.0676042 0.337354 0.50546
1040 0.12603 0.710625 0.82804 0.323569
1041 0.898171 0.655313 0.932058 0.392277
1042 0.254756 0.53625 0.139985 0.44154
1043 0.444993 0.319689 0.451387 0.11875
1044 0.377153 0.0918792 0.44846 0.738634
1045 0.257986 0.674075 0.628278 0.363059
1046 0.153536 0.217538 0.733529 0.530645
1047 0.599341 0.238552 0.746668 0.916336
1048 0.214222 0.473469 0.878249 0.722213
1049 0.891262 0.693845 0.54948 0.0862543
1050 0.419575 0.901847 0.392643 0.0176129
1051 0.496089 0.166479 0.410533 0.329389
1052 0.200365 0.88225 0.929414 0.817818
1053 0.737387 0.795188 0.881688 0.942405
1054 0.621036 0.830877 0.925397 0.294073
1055 0.0897321 0.828568 0.617195 0.282794
1056 0.949067 0.493515 0.374597 0.0501038
1057 0.886812 0.503984 0.692821 0.755475
1058 0.779272 0.582263 0.785555 0.081916
1059 0.694322 0.957728 0.477941 0.69222
1060 0.152484 0.505995 0.797655 0.416077
1061 0.66601 0.416423 0.484455 0.26648
1062 0.623701 0.944581 0.727842 0.85419
1063 0.748118 0.919682 0.00694992 0.726814
1064 0.875395 0.0168575 0.491126 0.673179
1065 0.519313 0.82401 0.884205 0.497748
1066 0.237321 0.792343 0.885097 0.927876
1067 0.750109 0.337965 0.352739 0.0875231
1068 0.364767 0.896708 0.150563 0.174251
1069 0.437623 0.338561 0.728727 0.2578
1070 0.342836 0.960996 0.0172957 0.97854
1071 0.118412 0.718926 0.545234 0.551038
1072 0.624951 0.664589 0.115745 0.499367
1073 0.683997 0.517205 0.787358 0.0368594
1074 0.47942 0.121929 0.682449 0.72685
1075 0.720548 0.0767232 0.00846685 0.0293662
1076 0.00850739 0.362982 0.908762 0.634546
1077 0.566111 0.487384 0.376373 0.542983
1078 0.320097 0.657464 0.0793739 0.546978
1079 0.825586 0.558331 0.0888909 0.395024
1080 0.0726439 0.432804 0.81898 0.447339
1081 0.00559026 0.571851 0.113861 0.12882
1082 0.379747 0.535865 0.312346 0.746873
1083 0.228169 0.0685331 0.849331 0.321857
1084 0.951291 0.588412 0.28487 0.209285
1085 0.654227 0.913673 0.065241 0.358996
1086 0.363742 0.18633 0.82762 0.27041
1087 0.294412 0.894928 0.378551 0.391491
1088 0.492795 0.692597 0.822724 0.915256
1089 0.30706 0.101228 0.529391 0.968119
1090 0.407203 0.373996 0.771828 0.571411
1091 0.679678 0.332926 0.86645 0.715393
1092 0.41324 0.63159 0.252242 0.149658
1093 0.362341 0.793208 0.715406 0.459412
1094 0.454881 0.0749372 0.0222569 0.409547
1095 0.468221 0.310749 0.694883 0.322575
1096 0.715392 0.19006 0.968989 0.249525
1097 0.078366 0.343618 0.559982 0.593972
1098 0.0316679 0.351165 0.63899 0.318109
1099 0.484713 0.014433 0.794108 0.562909
1100 0.623268 0.926112 0.0137313 0.514473
1101 0.37719 0.426772 0.93542 0.0206517
1102 0.653726 0.225629 0.488938 0.493657
1103 0.527644 0.512825 0.514849 0.776076
1104 0.282335 0.0462879 0.688651 0.213542
1105 0.94521 0.662301 0.498265 0.296569
1106 0.130247 0.557216 0.791731 0.857542
1107 0.274592 0.382586 0.266001 0.476131
1108 0.475326 0.280569 0.470429 0.138903
1109 0.380628 0.240146 0.428559 0.548239
1110 0.00583789 0.91575 0.337496 0.0393094
1111 0.609372 0.333187 0.167945 0.301705
1112 0.603688 0.757374 0.970206 0.456446
1113 0.137787 0.54556 0.309726 0.0233301
1114 0.393523 0.456993 0.126504 0.0319654
1115 0.121061 0.831915 0.971493 0.981822
1116 0.184654 0.878558 0.690419 0.603241
1117 0.0183776 0.78411 0.399078 0.783049
1118 0.448382 0.797643 0.180694 0.269131
1119 0.524895 0.728867 0.49246 0.567341
1120 0.113932 0.194413 0.328515 0.98187
1121 0.959531 0.606675 0.538951 0.785149
1122 0.731805 0.890338 0.277069 0.874062
1123 0.755046 0.881952 0.811858 0.178034
1124 0.944031 0.27867 0.37753 0.201645
1125 0.868776 0.734447 0.958458 0.607559
1126 0.716375 0.898652 0.352973 0.830552
1127 0.479263 0.781895 0.491719 0.515275
1128 0.428207 0.603497 0.773558 0.616687
1129 0.255873 0.583928 0.215877 0.0626471
1130 0.681377 0.0720972 0.333238 0.825698
1131 0.785404 0.177229 0.0565364 0.390362
1132 0.580027 0.4145 0.34008 0.910892
1133 0.41153 0.891936 0.531655 0.952097
1134 0.248933 0.621122 0.129205 0.514557
1135 0.789827 0.699303 0.990338 0.518462
1136 0.498572 0.605721 0.779181 0.479763
1137 0.882983 0.3406 0.762043 0.212422
1138 0.810753 0.592113 0.559629 0.956664
1139 0.917671 0.487276 0.499381 0.828184
1140 0.209249 0.594641 0.959631 0.359125
1141 0.996462 0.182361 0.263354 0.701094
1142 0.0955249 0.742395 0.943443 0.974436
1143 0.604995 0.813122 0.290472 0.536771
1144 0.770246 0.197178 0.251848 0.450707
1145 0.176523 0.864972 0.896842 0.8733
1146 0.126919 0.415229 0.114415 0.183436
1147 0.172812 0.706625 0.614911 0.240922
1148 0.894594 0.502688 0.659736 0.794605
1149 0.812262 0.656501 0.424215 0.599329
1150 0.822222 0.414815 0.607666 0.444533
1151 0.622978 0.580383 0.828064 0.273236
1152 0.337866 0.748963 0.49939 0.638618
1153 0.420398 0.270326 0.543764 0.37258
1154 0.481593 0.88129 0.768073 0.487917
1155 0.105972 0.854807 0.714557 0.574285
1156 0.301498 0.197234 0.37469 0.0544585
1157 0.855238 0.490138 0.817125 0.158188
1158 0.417947 0.165727 0.530536 0.458999
1159 0.810542 0.583119 0.829097 0.330305
1160 0.101731 0.00716817 0.199755 0.850839
1161 0.315506 0.794942 0.736655 0.13229
1162 0.977464 0.705139 0.622135 0.136188
1163 0.025227 0.0763532 0.102916 0.626521
1164 0.354185 0.111872 0.018282 0.533431
1165 0.898064 0.984054 0.183447 0.561903
1166 0.200722 0.897474 0.936144 0.570536
1167 0.121758 0.528359 0.965843 0.366088
1168 0.924052 0.0928882 0.369757 0.0617049
1169 0.448487 0.802102 0.525959 0.0754344
1170 0.374452 0.976619 0.827938 0.897263
1171 0.210331 0.640795 0.233997 0.704667
1172 0.891919 0.0551971 0.952541 0.152635
1173 0.458532 0.564029 0.609272 0.573812
1174 0.723923 0.887399 0.0827601 0.0691535
1175 0.216753 0.248135 0.0131118 0.250612
1176 0.785208 0.502217 0.33383 0.881293
1177 0.760471 0.780088 0.884974 0.0322443
1178 0.495951 0.160575 0.305373 0.261833
1179 0.131469 0.942663 0.867475 0.2808
1180 0.325253 0.210802 0.456491 0.3283
1181 0.768301 0.780845 0.931666 0.442602
1182 0.682528 0.787847 0.481584 0.700914
1183 0.180457 0.699478 0.504504 0.222067
1184 0.93999 0.106247 0.692772 0.024171
1185 0.0158323 0.342179 0.616098 0.146427
1186 0.635082 0.0968508 0.461637 0.661021
1187 0.668004 0.50149 0.224938 0.648285
1188 0.29228 0.137282 0.194894 0.940521
1189 0.741647 0.310283 0.144923 0.808563
1190 0.819363 0.626161 0.115494 0.386686
1191 0.241354 0.96442 0.388659 0.0430549
1192 0.0738533 0.151074 0.292502 0.778152
1193 0.270937 0.226659 0.257082 0.281415
1194 0.960944 0.000289321 0.909979 0.685128
1195 0.32723 0.961805 0.146137 0.578027
1196 0.31488 0.768229 0.687008 0.302013
1197 0.944214 0.953124 0.806812 0.609834
1198 0.83136 0.804685 0.657802 0.940893
1199 0.490234 0.249992 0.685503 0.156845
1200 0.459167 0.25779 0.192801 0.473038
1201 0.342894 0.296807 0.987278 0.426621
1202 0.924861 0.460735 0.188456 0.302384
1203 0.463121 0.0931417 0.24524 0.974719
1204 0.454974 0.412238 0.775331 0.126856
1205 0.561761 0.63515 0.44483 0.98866
1206 0.275799 0.100763 0.690995 0.79026
1207 0.598943 0.888226 0.142505 0.843619
1208 0.111465 0.42249 0.636072 0.949375
1209 0.278302 0.540906 0.533888 0.10368
1210 0.666634 0.443031 0.478678 0.0777023
1211 0.495079 0.79003 0.067076 0.533095
1212 0.970771 0.752901 0.0943555 0.499248
1213 0.368917 0.407142 0.962449 0.197633
1214 0.476564 0.666738 0.925493 0.69257
1215 0.539129 0.336151 0.89092 0.376723
1216 0.945694 0.0162662 0.0160832 0.0272017
1217 0.822006 0.0722362 0.0782179 0.772706
1218 0.42079 0.287021 0.324559 0.391422
1219 0.126688 0.0720006 0.24339 0.394175
1220 0.973019 0.848814 0.539313 0.842254
1221 0.697927 0.444881 0.0453687 0.50595
1222 0.43039 0.0299543 0.418394 0.455411
1223 0.300995 0.1758 0.102044 0.178916
1224 0.932466 0.785214 0.84672 0.974797
1225 0.885838 0.129079 0.161924 0.23854
1226 0.922833 0.707549 0.351068 0.658063
1227 0.564459 0.0835859 0.64909 0.801521
1228 0.0812555 0.13357 0.73493 0.886558
1229 0.407402 0.0491477 0.567766 0.105657
1230 0.713111 0.0927557 0.792225 0.654923
1231 0.612052 0.114205 0.64346 0.978623
1232 0.254307 0.850426 0.730734 0.977434
1233 0.0173762 0.0747157 0.593265 0.0569973
1234 0.815495 0.79446 0.98298 0.545076
1235 0.736586 0.0943166 0.5585 0.757482
1236 0.0800569 0.415762 0.504173 0.639207
1237 0.851072 0.645724 0.998542 0.0179032
1238 0.385918 0.132486 0.453695 0.354552
1239 0.655861 0.983395 0.735292 0.966182
