i t0002 t0004 t0008 t0016 t0032 t0064 t0128 t0256 t0512 t1024 tall
473 0.118115 0.0355863 -0.116839 0.272361 0.243026 -0.228012 0.346679 0.314692 0.160824 0.212379 0.29723
474 0 0.17891 -0.262897 0.287812 0.236582 -0.234628 0.33883 0.314665 0.159838 0.213113 0.297371
475 -0.0460997 0.180363 -0.393605 0.288844 0.229488 -0.240914 0.330785 0.314543 0.15886 0.213845 0.297485
476 0 0 -0.450211 0.273999 0.222105 -0.246812 0.322558 0.314325 0.157891 0.214578 0.297585
477 -0.238702 -0.186286 -0.405612 0.243487 0.214738 -0.252269 0.314163 0.314013 0.156929 0.21531 0.297682
478 0 -0.197982 -0.280521 0.199188 0.207602 -0.257233 0.305615 0.313608 0.155976 0.216041 0.297802
479 0.106269 -0.0526846 -0.129947 0.144533 0.200788 -0.261658 0.296927 0.313111 0.155031 0.216772 0.297923
480 0 0 0 0.0842565 0.194225 -0.2655 0.288115 0.312522 0.154094 0.217503 0.29802
481 0.195128 0.0510043 0.105715 0.0238363 0.187694 -0.268723 0.279194 0.311844 0.153164 0.218233 0.298114
482 -0 0.192572 0.14658 -0.0315023 0.181051 -0.271293 0.270176 0.311076 0.152242 0.218963 0.298192
483 -0.272395 0.181436 0.108865 -0.0768524 0.174252 -0.273182 0.261079 0.310222 0.151327 0.219692 0.298245
484 0 0 0.0189037 -0.108125 0.167311 -0.274367 0.251915 0.309281 0.15042 0.220421 0.298294
485 0.090176 -0.111916 -0.0753067 -0.122576 0.160286 -0.274832 0.242698 0.308256 0.14952 0.221149 0.298353
486 0 0.0312917 -0.123763 -0.119147 0.153273 -0.274562 0.233444 0.307148 0.148627 0.221877 0.298448
487 0.069878 0.149686 -0.0953528 -0.0986346 0.146389 -0.273553 0.224165 0.305959 0.14774 0.222604 0.298573
488 -0 0 0 -0.0636682 0.139765 -0.271802 0.214875 0.304691 0.146861 0.22333 0.298704
489 -0.379321 -0.264327 0.106893 -0.0185134 0.133536 -0.269312 0.205587 0.303345 0.145988 0.224056 0.298833
490 0 -0.400452 0.187548 0.0313072 0.127835 -0.266094 0.196312 0.301924 0.145121 0.224782 0.298984
491 0.49333 -0.219031 0.216624 0.0795749 0.122784 -0.26216 0.187065 0.300429 0.14426 0.225506 0.299149
492 0 0 0.186493 0.120115 0.118491 -0.257529 0.177854 0.298864 0.143405 0.22623 0.299282
493 -0.04802 0.211715 0.114441 0.147722 0.115042 -0.252224 0.168692 0.297229 0.142556 0.226953 0.299408
494 0 0.376894 0.037555 0.159259 0.112499 -0.246273 0.159587 0.295528 0.141712 0.227676 0.299523
495 -0.0214523 0.243208 -0.004665 0.154943 0.110898 -0.239708 0.150549 0.293764 0.140874 0.228398 0.299619
496 0 0 0 0.139812 0.110246 -0.232562 0.141587 0.291938 0.140041 0.229119 0.299714
497 -0.343744 -0.171253 0.0176477 0.12332 0.11052 -0.224874 0.132707 0.290053 0.139213 0.229839 0.299813
498 0 -0.145189 0.0342058 0.11087 0.111669 -0.216686 0.123915 0.288112 0.138389 0.230558 0.299946
499 0.362159 -0.00399519 0.0445458 0.10414 0.113615 -0.20804 0.115217 0.286119 0.137569 0.231277 0.300093
500 0 0 0.0445853 0.10289 0.116255 -0.19898 0.106617 0.284075 0.136754 0.231995 0.300222
501 -0.437082 -0.00978425 0.0346024 0.10561 0.119462 -0.189553 0.0981163 0.281985 0.135942 0.232712 0.300353
502 0 0.100818 0.0196101 0.110072 0.123094 -0.179805 0.0897171 0.279852 0.135134 0.233428 0.300512
503 0.399259 0.131475 0.00679207 0.113799 0.126997 -0.169781 0.0814189 0.277678 0.13433 0.234144 0.300666
504 0 0 0 0.114442 0.13101 -0.159529 0.07322 0.275467 0.133528 0.234858 0.300795
505 0.0643107 -0.101408 0.00205536 0.110073 0.134978 -0.149089 0.0651171 0.273224 0.132729 0.235572 0.300934
506 0 -0.0040003 0.0292935 0.0993805 0.138752 -0.138505 0.057105 0.270951 0.131932 0.236284 0.301085
507 0.0230454 0.0965797 0.0737438 0.0817821 0.142206 -0.127814 0.0491769 0.268653 0.131138 0.236996 0.301237
508 0 0 0.11289 0.0574476 0.145245 -0.117049 0.041324 0.266333 0.130345 0.237707 0.301367
509 -0.0903306 -0.185044 0.12666 0.0272305 0.147816 -0.10624 0.0335357 0.263995 0.129553 0.238417 0.30148
510 0 -0.280866 0.106969 -0.00748699 0.149919 -0.095408 0.0257991 0.261644 0.128763 0.239125 0.30159
511 -0.304334 -0.15397 0.0598262 -0.0450399 0.151627 -0.0845696 0.0180991 0.259284 0.127973 0.239833 0.301697
512 0 0 0 -0.083814 0.153091 -0.073732 0.0104186 0.25692 0.127184 0.24054 0.301813
513 -0.00567044 0.0763476 -0.0679996 -0.123831 0.154331 -0.0629281 0.00274618 0.254554 0.126395 0.241246 0.301913
514 0 0.0309128 -0.152146 -0.168721 0.154595 -0.0523145 -0.00489869 0.252184 0.125606 0.24195 0.301994
515 -0.00212339 -0.0390349 -0.226752 -0.219663 0.153129 -0.0420612 -0.0124896 0.249805 0.124817 0.242654 0.302063
516 0 0 -0.258369 -0.275047 0.149399 -0.0323172 -0.0200015 0.247414 0.12403 0.243356 0.302137
517 -0.0928042 0.0825774 -0.231906 -0.33165 0.143068 -0.023211 -0.0274106 0.245007 0.123244 0.244058 0.302212
518 0 0.109299 -0.159713 -0.385622 0.133969 -0.0148525 -0.0346943 0.24258 0.12246 0.244758 0.302288
519 0.251876 0.0493505 -0.0736269 -0.433279 0.122085 -0.00733313 -0.0418313 0.24013 0.121677 0.245457 0.302356
520 0 0 0 -0.471694 0.107523 -0.000727384 -0.0488015 0.237653 0.120897 0.246155 0.302406
521 -0.200903 -0.0383895 0.0807217 -0.499094 0.0905004 0.00490639 -0.055586 0.235146 0.120119 0.246851 0.302456
522 0 -0.0740038 0.198929 -0.515068 0.0713191 0.00952504 -0.062167 0.232606 0.119344 0.247547 0.30252
523 0.101742 -0.0509354 0.31879 -0.520567 0.05035 0.0130996 -0.068528 0.23003 0.118572 0.248241 0.302583
524 0 0 0.384649 -0.517722 0.0280151 0.0156146 -0.0746534 0.227416 0.117803 0.248934 0.302628
525 -0.155894 0.00716091 0.364042 -0.509454 0.00477109 0.0170667 -0.080529 0.22476 0.117038 0.249626 0.302647
526 0 -0.0669555 0.265355 -0.4989 -0.0189055 0.0174644 -0.0861413 0.222061 0.116276 0.250317 0.302645
527 0.241357 -0.0879782 0.130126 -0.488632 -0.042533 0.0168268 -0.0914783 0.219316 0.115519 0.251006 0.302634
528 0 0 0 -0.479689 -0.065637 0.0151828 -0.0965286 0.216523 0.114766 0.251694 0.302618
529 0.17 0.174824 -0.109951 -0.469097 -0.0877629 0.0125705 -0.101282 0.213679 0.114018 0.25238 0.302619
530 0 0.346609 -0.153839 -0.448351 -0.108486 0.00903597 -0.10573 0.210783 0.113274 0.253065 0.302635
531 0.0810437 0.243544 -0.116977 -0.412473 -0.127424 0.00463297 -0.109863 0.207833 0.112536 0.253749 0.302668
532 -0 0 -0.0255527 -0.360875 -0.14424 -0.000578188 -0.113676 0.204827 0.111803 0.254432 0.302714
533 -0.475193 -0.28555 0.0716161 -0.296095 -0.158657 -0.00653121 -0.11716 0.201763 0.111075 0.255113 0.302764
534 0 -0.481875 0.122996 -0.222685 -0.170459 -0.0131546 -0.120312 0.198641 0.110354 0.255793 0.30284
535 0.22789 -0.296088 0.0959444 -0.146239 -0.179501 -0.0203724 -0.123126 0.195458 0.109638 0.256471 0.302927
536 0 0 0 -0.0725692 -0.18571 -0.0281049 -0.125599 0.192214 0.108929 0.257148 0.303003
537 0.078148 0.150572 -0.101646 -0.00702171 -0.18909 -0.036269 -0.127728 0.188907 0.108226 0.257823 0.303075
538 0 0.0132954 -0.154512 0.0460579 -0.189722 -0.0447795 -0.129511 0.185537 0.10753 0.258497 0.303134
539 -0.320947 -0.134524 -0.14144 0.0837196 -0.18777 -0.0535492 -0.130948 0.182102 0.10684 0.259169 0.3032
540 0 0 -0.0759324 0.104657 -0.183477 -0.0624895 -0.132037 0.178601 0.106158 0.25984 0.303304
541 0.166051 0.208763 0.00664401 0.109313 -0.177164 -0.0715115 -0.132779 0.175034 0.105483 0.260509 0.303411
542 0 0.225765 0.0628589 0.0998371 -0.169232 -0.080526 -0.133175 0.171401 0.104816 0.261177 0.30349
543 0.28042 0.0637418 0.0600233 0.0799052 -0.160153 -0.0894446 -0.133228 0.1677 0.104156 0.261843 0.303553
544 -0 0 0 0.0543888 -0.150471 -0.0981796 -0.13294 0.163932 0.103504 0.262508 0.303602
545 -0.431379 -0.0328122 -0.0762777 0.0260511 -0.140587 -0.106645 -0.132313 0.160095 0.10286 0.263171 0.303651
546 0 -0.126167 -0.152704 -0.0107348 -0.130171 -0.114758 -0.131353 0.156191 0.102224 0.263833 0.303715
547 0.424473 -0.119476 -0.205697 -0.058063 -0.118828 -0.122436 -0.130064 0.152217 0.101597 0.264492 0.303792
548 0 0 -0.213381 -0.113213 -0.106294 -0.129602 -0.12845 0.148176 0.100978 0.265151 0.303874
549 -0.419697 0.157753 -0.173099 -0.170677 -0.0924224 -0.13618 -0.126518 0.144066 0.100368 0.265807 0.303979
550 0 0.249426 -0.104854 -0.223846 -0.0771637 -0.142101 -0.124274 0.139887 0.0997667 0.266462 0.304118
551 0.0127962 0.143311 -0.0406887 -0.266371 -0.0605528 -0.147297 -0.121725 0.13564 0.0991745 0.267115 0.304255
552 0 0 0 -0.293181 -0.0426931 -0.151708 -0.118878 0.131326 0.0985915 0.267766 0.304407
553 0.321248 -0.0236295 0.0380569 -0.301173 -0.0237435 -0.155277 -0.115742 0.126943 0.0980178 0.268416 0.304599
554 0 0.135965 0.0903067 -0.289567 -0.00390504 -0.157952 -0.112325 0.122494 0.0974536 0.269064 0.30482
555 -0.163964 0.187743 0.14087 -0.259921 0.0165903 -0.15969 -0.108635 0.117977 0.096899 0.26971 0.305062
556 0 0 0.166539 -0.215819 0.0374906 -0.16045 -0.104683 0.113395 0.0963542 0.270355 0.305311
557 0.278233 -0.201426 0.15477 -0.162222 0.0585344 -0.160201 -0.100478 0.108746 0.0958192 0.270997 0.30557
558 0 -0.180026 0.110711 -0.104484 0.0794589 -0.158917 -0.0960308 0.104033 0.0952943 0.271638 0.305839
559 -0.0655837 -0.0158703 0.0532323 -0.0470334 0.100009 -0.156578 -0.0913513 0.099256 0.0947795 0.272277 0.306127
560 -0 -0 0 0.00827679 0.119944 -0.153174 -0.0864509 0.0944154 0.0942749 0.272914 0.306417
561 -0.378045 -0.102219 -0.0531469 0.0615109 0.139043 -0.1487 -0.0813408 0.0895122 0.0937808 0.27355 0.306696
562 0 -0.200238 -0.110239 0.106549 0.157112 -0.143161 -0.0760328 0.0845475 0.0932971 0.274183 0.306991
563 -0.0181583 -0.139474 -0.153725 0.136384 0.173987 -0.136567 -0.0705388 0.0795222 0.0928241 0.274815 0.307287
564 0 0 -0.165019 0.145845 0.189539 -0.128939 -0.0648712 0.0744373 0.0923617 0.275444 0.307587
565 -0.00856085 0.0868163 -0.139218 0.132012 0.203674 -0.120304 -0.0590425 0.0692939 0.0919102 0.276072 0.307879
566 0 0.030674 -0.0889441 0.0944335 0.216338 -0.110699 -0.0530655 0.0640932 0.0914696 0.276698 0.308155
567 0.348567 -0.0497918 -0.0373092 0.0351432 0.227514 -0.100169 -0.0469531 0.0588363 0.09104 0.277322 0.308424
568 0 0 0 -0.0415125 0.237225 -0.0887657 -0.0407186 0.0535245 0.0906215 0.277944 0.308675
569 -0.337457 0.121261 0.0267813 -0.129251 0.245531 -0.0765523 -0.0343754 0.0481591 0.0902143 0.278563 0.308923
570 0 0.199466 0.0307518 -0.22042 0.252528 -0.0635993 -0.027937 0.0427414 0.0898183 0.279181 0.309177
571 0.130726 0.1195 0.0102923 -0.306772 0.258345 -0.0499861 -0.0214172 0.0372727 0.0894337 0.279797 0.309416
572 0 0 -0.0223679 -0.380421 0.26314 -0.0358009 -0.0148296 0.0317544 0.0890605 0.280411 0.309654
573 0.287696 -0.164426 -0.0499999 -0.435005 0.267094 -0.0211407 -0.00818833 0.0261881 0.0886989 0.281023 0.309913
574 0 -0.344131 -0.0577505 -0.467047 0.270408 -0.00611148 -0.00150726 0.0205752 0.0883488 0.281633 0.31018
575 -0.319862 -0.250952 -0.0390424 -0.477508 0.273292 0.00917228 0.00519953 0.0149172 0.0880104 0.282241 0.310486
576 0 0 0 -0.473537 0.275964 0.0245873 0.011918 0.00921562 0.0876838 0.282846 0.310827
577 -0.103478 0.288582 0.0287167 -0.467509 0.278424 0.0399899 0.018634 0.00347211 0.087369 0.28345 0.311159
578 0 0.465307 0.00067601 -0.465071 0.279886 0.05519 0.0253334 -0.00231174 0.087066 0.284051 0.311466
579 0.244896 0.273057 -0.0764491 -0.46642 0.279523 0.0700014 0.0320022 -0.00813428 0.0867749 0.28465 0.311727
580 0 0 -0.161419 -0.469316 0.276679 0.084255 0.0386264 -0.0139938 0.0864958 0.285248 0.311957
581 0.128348 -0.270699 -0.210104 -0.470268 0.270865 0.0977985 0.0451921 -0.0198887 0.0862288 0.285843 0.312188
582 0 -0.457711 -0.195514 -0.465514 0.261743 0.110496 0.0516852 -0.0258172 0.0859738 0.286435 0.312418
583 -0.18497 -0.281773 -0.1172 -0.451783 0.249119 0.122228 0.0580922 -0.0317775 0.0857309 0.287026 0.312672
584 0 0 0 -0.42684 0.232928 0.132889 0.0643993 -0.0377679 0.0855002 0.287615 0.312936
585 -0.100334 0.136001 0.130585 -0.389822 0.213227 0.142391 0.0705931 -0.0437866 0.0852816 0.288201 0.313173
586 0 -0.0116921 0.269498 -0.341356 0.190179 0.150659 0.0766602 -0.0498318 0.0850753 0.288785 0.313384
587 -0.0248105 -0.150114 0.374014 -0.28346 0.164043 0.157632 0.0825876 -0.0559017 0.0848813 0.289366 0.31357
588 0 0 0.399655 -0.219238 0.135164 0.163262 0.0883623 -0.0619944 0.0846996 0.289946 0.313741
589 0.0973542 0.174321 0.335457 -0.152352 0.103957 0.167517 0.0939717 -0.068108 0.0845302 0.290523 0.313875
590 0 0.08964 0.212899 -0.0862813 0.0708946 0.170374 0.0994033 -0.0742407 0.0843731 0.291098 0.313954
591 0.168778 -0.0661222 0.0884892 -0.0233724 0.0364987 0.171825 0.104645 -0.0803907 0.0842284 0.291671 0.314011
592 0 0 0 0.0363318 0.00132258 0.171872 0.109685 -0.086556 0.0840961 0.292241 0.314063
593 -0.273001 0.216713 -0.08747 0.0935888 -0.0340604 0.170529 0.114511 -0.0927347 0.0839762 0.292809 0.314104
594 0 0.395281 -0.207265 0.141764 -0.0690702 0.16782 0.119113 -0.0989249 0.0838687 0.293375 0.314124
595 0.338663 0.260403 -0.322975 0.174425 -0.103134 0.163779 0.12348 -0.105125 0.0837737 0.293938 0.314099
596 -0 0 -0.381514 0.18793 -0.135701 0.158449 0.127601 -0.111332 0.0836911 0.294499 0.314039
597 -0.393109 -0.135653 -0.354292 0.181253 -0.166254 0.151885 0.131465 -0.117545 0.0836209 0.295057 0.313978
598 0 0.00643006 -0.253234 0.15573 -0.194328 0.144145 0.135064 -0.123763 0.0835632 0.295613 0.313944
599 0.405496 0.143415 -0.12166 0.114717 -0.21952 0.1353 0.138388 -0.129982 0.0835179 0.296167 0.313898
600 0 0 0 0.0631843 -0.241507 0.125425 0.141429 -0.136201 0.0834851 0.296718 0.3138
601 0.0856853 -0.150812 0.101063 0.00721755 -0.260062 0.114603 0.144177 -0.142418 0.0834647 0.297267 0.313697
602 0 -0.0302509 0.139391 -0.0465494 -0.275065 0.102923 0.146626 -0.148631 0.0834567 0.297814 0.313593
603 -0.00524655 0.114298 0.102071 -0.0915858 -0.286523 0.0904775 0.148767 -0.154838 0.0834612 0.298357 0.313477
604 0 0 0.0149242 -0.122193 -0.294584 0.0773667 0.150595 -0.161038 0.0834781 0.298899 0.31334
605 -0.0179071 -0.163543 -0.0755773 -0.134311 -0.299551 0.0636934 0.152103 -0.167228 0.0835073 0.299438 0.313209
606 0 -0.128325 -0.121377 -0.126407 -0.301901 0.0495641 0.153285 -0.173406 0.083549 0.299974 0.313112
607 -0.204235 0.00865168 -0.0928827 -0.100435 -0.302302 0.0350883 0.154136 -0.179571 0.083603 0.300508 0.313042
608 0 0 0 -0.0628876 -0.301627 0.0203778 0.154652 -0.185721 0.0836694 0.30104 0.312987
609 0.213383 -0.0526188 0.102239 -0.0233376 -0.300867 0.00554603 0.15483 -0.191853 0.083748 0.301568 0.312926
610 0 -0.0132551 0.173091 0.0144601 -0.300681 -0.00929272 0.154665 -0.197966 0.083839 0.302095 0.312847
611 -0.308587 0.0366195 0.19015 0.048542 -0.301469 -0.0240238 0.154157 -0.204059 0.0839422 0.302618 0.312744
612 0 0 0.151601 0.0770724 -0.303466 -0.0385331 0.153302 -0.210128 0.0840577 0.303139 0.312624
613 0.0687055 -0.0399645 0.0789731 0.0986539 -0.306765 -0.0527074 0.1521 -0.216173 0.0841853 0.303658 0.31248
614 0 0.00248366 0.00989596 0.112548 -0.311343 -0.0664354 0.150551 -0.222192 0.0843251 0.304174 0.312329
615 0.196523 0.0429624 -0.0191376 0.118804 -0.317084 -0.0796084 0.148655 -0.228182 0.084477 0.304687 0.312181
616 0 0 0 0.118298 -0.323797 -0.0921206 0.146414 -0.234142 0.0846411 0.305198 0.312024
617 0.0356241 -0.0113277 0.0226384 0.112679 -0.331237 -0.10387 0.143829 -0.24007 0.0848171 0.305706 0.311869
618 0 0.0993839 0.00945424 0.104227 -0.339121 -0.114761 0.140904 -0.245965 0.0850052 0.306211 0.311711
619 -0.165017 0.131287 -0.0361026 0.0956194 -0.347145 -0.1247 0.137642 -0.251824 0.0852052 0.306714 0.311541
620 0 0 -0.0892905 0.0896042 -0.354999 -0.133604 0.134049 -0.257646 0.0854171 0.307214 0.311371
621 0.186365 -0.111428 -0.122407 0.0885863 -0.362377 -0.141392 0.130128 -0.26343 0.0856409 0.307711 0.311216
622 -0 -0.0354346 -0.117231 0.0941202 -0.36899 -0.147994 0.125888 -0.269173 0.0858765 0.308206 0.311087
623 -0.484288 0.0686572 -0.0715836 0.106313 -0.374575 -0.153348 0.121334 -0.274874 0.0861238 0.308697 0.310977
624 0 0 0 0.123134 -0.378903 -0.1574 0.116477 -0.280531 0.0863829 0.309187 0.310893
625 0.0111069 -0.0706051 0.0634026 0.141608 -0.381787 -0.160108 0.111323 -0.286143 0.0866536 0.309673 0.31081
626 0 0.0291624 0.0720109 0.163424 -0.383083 -0.161438 0.105885 -0.291708 0.0869358 0.310157 0.310741
627 0.0382325 0.105805 0.0222218 0.189868 -0.382695 -0.161371 0.100173 -0.297225 0.0872296 0.310637 0.310675
628 0 0 -0.056323 0.220585 -0.380578 -0.159898 0.0941997 -0.302691 0.0875348 0.311116 0.310606
629 0.317566 -0.196751 -0.122207 0.254156 -0.376736 -0.157023 0.0879778 -0.308106 0.0878515 0.311591 0.310557
630 0 -0.32202 -0.139994 0.2886 -0.37122 -0.152766 0.0815221 -0.313468 0.0881794 0.312063 0.310525
631 -0.176726 -0.191937 -0.0942764 0.321787 -0.364127 -0.147161 0.0748478 -0.318776 0.0885186 0.312533 0.310541
632 0 0 0 0.351762 -0.355594 -0.140257 0.0679717 -0.324027 0.088869 0.313 0.31059
633 -0.128415 0.201482 0.101565 0.376998 -0.34579 -0.13212 0.0609114 -0.329221 0.0892305 0.313464 0.310645
634 0 0.352756 0.180281 0.39655 -0.33491 -0.122835 0.0536857 -0.334357 0.0896031 0.313925 0.310706
635 -0.0238511 0.224306 0.211461 0.410135 -0.323165 -0.112504 0.0463145 -0.339433 0.0899866 0.314383 0.310744
636 0 0 0.186049 0.418124 -0.31077 -0.101248 0.0388191 -0.344447 0.090381 0.314839 0.310771
637 0.394316 -0.227633 0.118815 0.421449 -0.297933 -0.0892078 0.0312219 -0.349399 0.0907863 0.315291 0.310804
638 0 -0.363472 0.0442866 0.42143 -0.284839 -0.076547 0.0235464 -0.354287 0.0912022 0.315741 0.310832
639 0.0513883 -0.211089 0.000419295 0.419509 -0.271632 -0.0634499 0.0158175 -0.35911 0.0916288 0.316188 0.310902
640 0 0 0 0.416914 -0.258403 -0.0501237 0.00806132 -0.363866 0.092066 0.316631 0.310991
641 -0.213957 0.192137 -0.00240987 0.413809 -0.245065 -0.0367573 0.000305102 -0.368555 0.0925137 0.317072 0.311081
642 0 0.302446 -0.0552893 0.408096 -0.231136 -0.0233915 -0.007424 -0.373176 0.0929718 0.31751 0.31117
643 0.074062 0.172924 -0.143192 0.397443 -0.216189 -0.0100385 -0.0151 -0.377727 0.0934401 0.317945 0.311239
644 0 0 -0.221479 0.380049 -0.199953 0.00327786 -0.0226982 -0.382207 0.0939187 0.318377 0.311311
645 0.127546 -0.102258 -0.24998 0.354816 -0.182294 0.0165238 -0.0301952 -0.386616 0.0944074 0.318806 0.311409
646 -0 -0.0748917 -0.212043 0.321463 -0.163194 0.0296571 -0.0375685 -0.390952 0.0949062 0.319232 0.311531
647 -0.454473 0.0118616 -0.118996 0.280553 -0.142726 0.0426285 -0.0447972 -0.395214 0.0954149 0.319656 0.31167
648 0 0 0 0.23346 -0.121042 0.0553825 -0.0518612 -0.399402 0.0959335 0.320076 0.311834
649 -0.0302329 -0.0308915 0.122249 0.182247 -0.0983527 0.0678596 -0.0587419 -0.403514 0.0964618 0.320493 0.311997
650 0 0.013613 0.230027 0.12949 -0.074911 0.0799965 -0.0654214 -0.40755 0.0969998 0.320907 0.312172
651 0.497604 0.0473228 0.289822 0.0780108 -0.0509995 0.0917278 -0.0718833 -0.411509 0.0975473 0.321318 0.312358
652 0 0 0.279388 0.0305479 -0.0269161 0.102987 -0.0781122 -0.415391 0.0981043 0.321726 0.312515
653 -0.269525 -0.0399781 0.206149 -0.0106487 -0.00296219 0.113708 -0.0840935 -0.419193 0.0986707 0.322131 0.312677
654 0 0.0100379 0.107203 -0.0442975 0.0205679 0.123823 -0.0898141 -0.422917 0.0992463 0.322533 0.312864
655 -0.111849 0.0520941 0.0308993 -0.0706369 0.0433963 0.13327 -0.0952615 -0.42656 0.0998311 0.322932 0.31306
656 0 0 0 -0.0920502 0.0652694 0.141986 -0.100424 -0.430123 0.100425 0.323328 0.313274
657 0.0512898 -0.0270804 -0.00367013 -0.114482 0.085965 0.149913 -0.105293 -0.433604 0.101028 0.32372 0.313499
658 0 0.0705096 0.0433041 -0.146183 0.105298 0.156997 -0.109857 -0.437004 0.101639 0.32411 0.31374
659 0.247553 0.112188 0.127301 -0.189826 0.123122 0.163187 -0.114109 -0.440322 0.10226 0.324496 0.313987
660 0 0 0.205265 -0.243017 0.139338 0.168439 -0.118041 -0.443557 0.102889 0.32488 0.31421
661 -0.0103042 -0.101616 0.237087 -0.300335 0.15389 0.172714 -0.121646 -0.446709 0.103526 0.32526 0.314428
662 -0 -0.0364691 0.204457 -0.355049 0.166766 0.17598 -0.12492 -0.449777 0.104172 0.325637 0.31465
663 -0.28 0.0575972 0.116188 -0.400502 0.178002 0.17821 -0.127857 -0.452762 0.104826 0.326011 0.314866
664 0 0 0 -0.431177 0.187673 0.179385 -0.130453 -0.455662 0.105488 0.326382 0.315091
665 0.325551 -0.0691656 -0.131103 -0.44342 0.195896 0.179493 -0.132706 -0.458478 0.106159 0.326749 0.315331
666 -0 -0.000782664 -0.286899 -0.435855 0.202818 0.17853 -0.134613 -0.461209 0.106837 0.327114 0.31558
667 -0.412294 0.0682209 -0.419737 -0.409454 0.208615 0.176499 -0.136172 -0.463855 0.107523 0.327475 0.315851
668 0 0 -0.470738 -0.367293 0.213483 0.17341 -0.137383 -0.466415 0.108217 0.327833 0.316164
669 0.0477593 -0.0411921 -0.415921 -0.31397 0.21763 0.169282 -0.138247 -0.468891 0.108918 0.328188 0.316509
670 0 0.0878187 -0.281297 -0.254706 0.221263 0.16414 -0.138763 -0.471281 0.109627 0.32854 0.316892
671 -0.0491969 0.147192 -0.126936 -0.194106 0.22458 0.15802 -0.138934 -0.473586 0.110344 0.328889 0.317283
672 0 0 0 -0.134608 0.227756 0.15096 -0.138762 -0.475805 0.111067 0.329234 0.317663
673 0.135484 -0.11192 0.115098 -0.076303 0.230926 0.143011 -0.13825 -0.477939 0.111798 0.329576 0.318052
674 0 0.0257623 0.215866 -0.0224183 0.234177 0.134227 -0.137401 -0.479987 0.112535 0.329915 0.318456
675 0.0805337 0.143016 0.270959 0.0229283 0.237548 0.12467 -0.136219 -0.48195 0.11328 0.33025 0.318855
676 -0 0 0.260043 0.056417 0.241043 0.114408 -0.13471 -0.483828 0.114031 0.330583 0.319221
677 -0.25241 -0.190175 0.190672 0.0759104 0.244634 0.103515 -0.132879 -0.48562 0.114789 0.330912 0.319567
678 0 -0.17762 0.0980143 0.0806975 0.248273 0.0920702 -0.130732 -0.487328 0.115553 0.331237 0.319932
679 0.48152 -0.0242184 0.0274461 0.071595 0.251895 0.0801574 -0.128276 -0.488951 0.116324 0.33156 0.320316
680 -0 0 0 0.050908 0.255425 0.0678643 -0.125517 -0.49049 0.117101 0.331879 0.320684
681 -0.233088 0.0272793 -0.0038021 0.0222477 0.258784 0.0552819 -0.122464 -0.491945 0.117884 0.332195 0.321068
682 0 0.187477 0.0326765 -0.0097908 0.261892 0.0425041 -0.119124 -0.493316 0.118673 0.332508 0.321488
683 0.172934 0.199011 0.0988743 -0.0400938 0.264673 0.0296261 -0.115507 -0.494604 0.119468 0.332817 0.321917
684 -0 -0 0.160798 -0.0636353 0.267062 0.0167443 -0.111621 -0.495809 0.120269 0.333123 0.322341
685 -0.345855 -0.219419 0.186575 -0.0762245 0.268999 0.00395482 -0.107476 -0.496931 0.121075 0.333426 0.322772
686 0 -0.253194 0.161411 -0.0753961 0.270443 -0.00864731 -0.103082 -0.497971 0.121887 0.333725 0.323242
687 0.414382 -0.0861938 0.0919444 -0.0614408 0.271362 -0.0209692 -0.0984499 -0.49893 0.122704 0.334021 0.323738
688 0 0 0 -0.0385786 0.271746 -0.0329212 -0.0935893 -0.499808 0.123526 0.334314 0.324228
689 -0.197632 0.074334 -0.0901267 -0.01371 0.271596 -0.0444183 -0.088512 -0.500605 0.124353 0.334603 0.324737
690 0 0.215004 -0.151364 0.0113581 0.270933 -0.055381 -0.0832294 -0.501322 0.125186 0.334889 0.325278
691 -0.0723067 0.185182 -0.164315 0.0346712 0.269793 -0.0657372 -0.0777533 -0.501961 0.126023 0.335172 0.325826
692 0 0 -0.128444 0.05302 0.268228 -0.0754228 -0.0720957 -0.502521 0.126865 0.335451 0.326389
693 -0.119703 -0.255666 -0.0637002 0.0629461 0.2663 -0.084384 -0.066269 -0.503003 0.127711 0.335727 0.326957
694 0 -0.44197 -0.00367231 0.0615295 0.264086 -0.092578 -0.0602859 -0.503408 0.128562 0.336 0.327541
695 0.0558845 -0.277806 0.019719 0.0469589 0.261668 -0.0999752 -0.0541592 -0.503736 0.129417 0.336269 0.328143
696 0 0 0 0.0188838 0.259133 -0.10656 -0.0479019 -0.50399 0.130276 0.336534 0.328745
697 -0.157058 0.288671 -0.024611 -0.0214507 0.256569 -0.112334 -0.0415274 -0.504168 0.131139 0.336797 0.32935
698 0 0.476958 -0.0233679 -0.0712875 0.254058 -0.117317 -0.0350491 -0.504273 0.132006 0.337056 0.329968
699 0.485336 0.287032 0.00379238 -0.126658 0.251674 -0.121545 -0.0284806 -0.504304 0.132877 0.337311 0.330582
700 0 0 0.0413714 -0.182902 0.249475 -0.125081 -0.0218357 -0.504264 0.133751 0.337563 0.331184
701 -0.0874663 -0.21235 0.0696505 -0.235402 0.247496 -0.128008 -0.0151282 -0.504152 0.134629 0.337812 0.331811
702 0 -0.236473 0.0733045 -0.280539 0.245745 -0.130436 -0.00837206 -0.50397 0.13551 0.338057 0.332463
